Trial (NCT),Condition,Arm,Interventions,OS median,OS 95% CI low,OS 95% CI high,OS N,PFS median,PFS 95% CI low,PFS 95% CI high,PFS N,ORR %,CT.gov last updated,Trial start date,Trial completion date
NCT01015833,"Advanced Adult Hepatocellular Carcinoma; Recurrent Hepatocellular Carcinoma; Stage III Hepatocellular Carcinoma AJCC v7; Stage IIIA Hepatocellular Carcinoma AJCC v7; Stage IIIB Hepatocellular Carcinoma AJCC v7; Stage IIIC Hepatocellular Carcinoma AJCC v7; Stage IV Hepatocellular Carcinoma AJCC v7; Stage IVA Hepatocellular Carcinoma AJCC v7; Stage IVB Hepatocellular Carcinoma AJCC v7; Unresectable Hepatocellular Carcinoma; Carcinoma, Hepatocellular","Arm I (Doxorubicin Hydrochloride, Sorafenib Tosylate)","Doxorubicin Hydrochloride, Laboratory Biomarker Analysis, Pharmacogenomic Study, Sorafenib Tosylate",8.9,7.1,10.8,180.0,,,,,7.3,2022-08-04,2010-02-15,2018-08-15
NCT01015833,"Advanced Adult Hepatocellular Carcinoma; Recurrent Hepatocellular Carcinoma; Stage III Hepatocellular Carcinoma AJCC v7; Stage IIIA Hepatocellular Carcinoma AJCC v7; Stage IIIB Hepatocellular Carcinoma AJCC v7; Stage IIIC Hepatocellular Carcinoma AJCC v7; Stage IV Hepatocellular Carcinoma AJCC v7; Stage IVA Hepatocellular Carcinoma AJCC v7; Stage IVB Hepatocellular Carcinoma AJCC v7; Unresectable Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Arm II (Sorafenib Tosylate),"Doxorubicin Hydrochloride, Laboratory Biomarker Analysis, Pharmacogenomic Study, Sorafenib Tosylate",10.5,7.6,13.8,176.0,,,,,3.3,2022-08-04,2010-02-15,2018-08-15
NCT02825550,"Cancer of Liver; Liver Neoplasms; Carcinoma, Hepatocellular",Adverse Event,Taiwan ACE Beads,,,,,,,,,,2018-08-07,2016-04,2017-01
NCT02157974,Hepatic Steatosis; Polycystic Ovarian Syndrome; Obesity; Fatty Liver; Polycystic Ovary Syndrome; Obesity,Control,Byetta 5Mcg Pen Injection,,,,,,,,,,2024-06-04,2014-08,2022-12
NCT02157974,Hepatic Steatosis; Polycystic Ovarian Syndrome; Obesity; Fatty Liver; Polycystic Ovary Syndrome; Obesity,PCOS Medication Naive,Byetta 5Mcg Pen Injection,,,,,,,,,,2024-06-04,2014-08,2022-12
NCT02157974,Hepatic Steatosis; Polycystic Ovarian Syndrome; Obesity; Fatty Liver; Polycystic Ovary Syndrome; Obesity,PCOS on COCPs,Byetta 5Mcg Pen Injection,,,,,,,,,,2024-06-04,2014-08,2022-12
NCT02157974,Hepatic Steatosis; Polycystic Ovarian Syndrome; Obesity; Fatty Liver; Polycystic Ovary Syndrome; Obesity,PCOS on Metformin,Byetta 5Mcg Pen Injection,,,,,,,,,,2024-06-04,2014-08,2022-12
NCT02157974,Hepatic Steatosis; Polycystic Ovarian Syndrome; Obesity; Fatty Liver; Polycystic Ovary Syndrome; Obesity,"PCOS, Medication Naive + Byetta",Byetta 5Mcg Pen Injection,,,,,,,,,,2024-06-04,2014-08,2022-12
NCT02007954,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",DEBDOX,DEBDOX,,,,,,,,,,2017-08-11,2014-02,2016-11-18
NCT02471313,"Liver Cancer; Liver Neoplasm; Hepatocellular Carcinoma; HCC; Liver Neoplasms; Carcinoma, Hepatocellular",[18F] FMISO PET Scan,[18F] FMISO,,,,,,,,,,2019-04-23,2015-06-12,2018-03-07
NCT00605722,Liver Cancer; Liver Neoplasms,Bevacizumab + Erlotinib,"bevacizumab (Avastin), erlotinib (Tarceva)",10.7,7.4,,51.0,35.3,22.4,49.9,51.0,0.0,2014-07-14,2008-03,2010-09
NCT03026803,Liver Cancer; Hepatocellular Cancer; Liver Neoplasms,Oxaliplatin and Capecitabine,"Oxaliplatin, Capecitabine",,,,,,,,,,2017-04-13,2006-11,2014-10
NCT01099631,"Cancer of the Liver; Liver Cancer; Hepatoma; Liver Neoplasms; Biliary Cancer; Liver Neoplasms; Carcinoma, Hepatocellular; Biliary Tract Neoplasms",Salmonella Typhimurium 10 to the 10 th - Level 6,Salmonella typhimurium,,,,,,,,,,2020-07-20,2010-04,2014-06
NCT01099631,"Cancer of the Liver; Liver Cancer; Hepatoma; Liver Neoplasms; Biliary Cancer; Liver Neoplasms; Carcinoma, Hepatocellular; Biliary Tract Neoplasms",Salmonella Typhimurium 10 to the 5 th - Level 1,Salmonella typhimurium,,,,,,,,,,2020-07-20,2010-04,2014-06
NCT01099631,"Cancer of the Liver; Liver Cancer; Hepatoma; Liver Neoplasms; Biliary Cancer; Liver Neoplasms; Carcinoma, Hepatocellular; Biliary Tract Neoplasms",Salmonella Typhimurium 10 to the 6 th - Level 2,Salmonella typhimurium,,,,,,,,,,2020-07-20,2010-04,2014-06
NCT01099631,"Cancer of the Liver; Liver Cancer; Hepatoma; Liver Neoplasms; Biliary Cancer; Liver Neoplasms; Carcinoma, Hepatocellular; Biliary Tract Neoplasms",Salmonella Typhimurium 10 to the 7 th - Level 3,Salmonella typhimurium,,,,,,,,,,2020-07-20,2010-04,2014-06
NCT01099631,"Cancer of the Liver; Liver Cancer; Hepatoma; Liver Neoplasms; Biliary Cancer; Liver Neoplasms; Carcinoma, Hepatocellular; Biliary Tract Neoplasms",Salmonella Typhimurium 10 to the 8 th - Level 4,Salmonella typhimurium,,,,,,,,,,2020-07-20,2010-04,2014-06
NCT01099631,"Cancer of the Liver; Liver Cancer; Hepatoma; Liver Neoplasms; Biliary Cancer; Liver Neoplasms; Carcinoma, Hepatocellular; Biliary Tract Neoplasms",Salmonella Typhimurium 10 to the 9 th - Level 5,Salmonella typhimurium,,,,,,,,,,2020-07-20,2010-04,2014-06
NCT04283994,"Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure, Congestive; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Disease; Diabetes With End Organ Injury; Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Diseases",Clinicians,"Survey-based Patient/Clinician Jumpstart, EHR-based Clinician Jumpstart",,,,,,,,,,2025-06-24,2021-07-26,2025-01-27
NCT04283994,"Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure, Congestive; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Disease; Diabetes With End Organ Injury; Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Diseases",EHR-based Clinician-facing Jumpstart [Family],"Survey-based Patient/Clinician Jumpstart, EHR-based Clinician Jumpstart",,,,,,,,,,2025-06-24,2021-07-26,2025-01-27
NCT04283994,"Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure, Congestive; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Disease; Diabetes With End Organ Injury; Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Diseases",EHR-based Clinician-facing Jumpstart [Patient],"Survey-based Patient/Clinician Jumpstart, EHR-based Clinician Jumpstart",,,,,,,,,,2025-06-24,2021-07-26,2025-01-27
NCT04283994,"Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure, Congestive; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Disease; Diabetes With End Organ Injury; Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Diseases",Survey-based Bi-directional Jumpstart [Family],"Survey-based Patient/Clinician Jumpstart, EHR-based Clinician Jumpstart",,,,,,,,,,2025-06-24,2021-07-26,2025-01-27
NCT04283994,"Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure, Congestive; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Disease; Diabetes With End Organ Injury; Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Diseases",Survey-based Bi-directional Jumpstart [Patient],"Survey-based Patient/Clinician Jumpstart, EHR-based Clinician Jumpstart",,,,,,,,,,2025-06-24,2021-07-26,2025-01-27
NCT04283994,"Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure, Congestive; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Disease; Diabetes With End Organ Injury; Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Diseases",Usual Care [Family],"Survey-based Patient/Clinician Jumpstart, EHR-based Clinician Jumpstart",,,,,,,,,,2025-06-24,2021-07-26,2025-01-27
NCT04283994,"Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure, Congestive; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Disease; Diabetes With End Organ Injury; Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Diseases",Usual Care [Patient],"Survey-based Patient/Clinician Jumpstart, EHR-based Clinician Jumpstart",,,,,,,,,,2025-06-24,2021-07-26,2025-01-27
NCT02762266,"Child-Pugh Class A; Child-Pugh Class B; Recurrent Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Stereotactic Body Radiation Therapy (SBRT),"Stereotactic Body Radiation Therapy, Transarterial Chemoembolization, embolic agent, lipiodol",,,,6.0,,,,6.0,,2024-03-12,2016-02-27,2022-12-31
NCT02762266,"Child-Pugh Class A; Child-Pugh Class B; Recurrent Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Transarterial Chemoembolization (TACE),"Stereotactic Body Radiation Therapy, Transarterial Chemoembolization, embolic agent, lipiodol",,,,4.0,,,,4.0,,2024-03-12,2016-02-27,2022-12-31
NCT03654040,Liver Transplant,"Enrolled, Received arTregs","arTreg, leukapheresis, cyclophosphamide, mesna, everolimus",,,,,,,,,,2024-04-23,2021-04-22,2023-03-06
NCT03439891,"Stage III Hepatocellular Carcinoma AJCC v8; Stage IIIA Hepatocellular Carcinoma AJCC v8; Stage IIIB Hepatocellular Carcinoma AJCC v7; Stage IIIC Hepatocellular Carcinoma AJCC v7; Stage IV Hepatocellular Carcinoma AJCC v8; Stage IVA Hepatocellular Carcinoma AJCC v8; Stage IVB Hepatocellular Carcinoma AJCC v8; Carcinoma, Hepatocellular","All Treatment Groups Combined (Sorafenib, Nivolumab)","Nivolumab, Sorafenib",12.99,1.7,42.0,16.0,2.58,2.58,,16.0,0.063,2025-02-11,2018-04-16,2023-11-30
NCT03439891,"Stage III Hepatocellular Carcinoma AJCC v8; Stage IIIA Hepatocellular Carcinoma AJCC v8; Stage IIIB Hepatocellular Carcinoma AJCC v7; Stage IIIC Hepatocellular Carcinoma AJCC v7; Stage IV Hepatocellular Carcinoma AJCC v8; Stage IVA Hepatocellular Carcinoma AJCC v8; Stage IVB Hepatocellular Carcinoma AJCC v8; Carcinoma, Hepatocellular","Part 2: Child Pugh B Expansion Cohort (Sorafenib, Nivolumab)","Nivolumab, Sorafenib",,,,,,,,,,2025-02-11,2018-04-16,2023-11-30
NCT02200042,Stage III Intrahepatic Cholangiocarcinoma; Stage IVA Intrahepatic Cholangiocarcinoma; Cholangiocarcinoma,Observation,Image Guided Radiation Therapy,,,,,,,,,,2019-08-28,2014-09-29,2018-07-02
NCT02200042,Stage III Intrahepatic Cholangiocarcinoma; Stage IVA Intrahepatic Cholangiocarcinoma; Cholangiocarcinoma,Radiation Therapy,Image Guided Radiation Therapy,,,,,,,,,,2019-08-28,2014-09-29,2018-07-02
NCT04945720,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Study Group,"Hepatic artery infusion chemotherapy（HAIC）, Durvalumab",16.0,,,30.0,,,,,16.0,2026-02-25,2022-04-11,2024-07-05
NCT03029988,Liver Metastases; Colorectal Carcinoma; Colorectal Neoplasms; Adenocarcinoma,Cohort 1,"Tilmanocept (Technetium Tc 99m tilmanocept Injection), SPECT/CT Imaging",,,,,,,,,,2020-09-10,2017-07-26,2018-09-24
NCT02182687,"Hepatocellular Carcinoma; HCC; Carcinoma, Hepatocellular",Arm A,"Stereotactic Body Radiation Therapy (SBRT), Trans-Arterial Chemoembolization (TACE), Doxorubin",,,,,,,,,,2024-03-05,2014-06,2021-10
NCT02182687,"Hepatocellular Carcinoma; HCC; Carcinoma, Hepatocellular",Arm B,"Stereotactic Body Radiation Therapy (SBRT), Trans-Arterial Chemoembolization (TACE), Doxorubin",,,,,,,,,,2024-03-05,2014-06,2021-10
NCT02867592,"Adrenal Cortical Carcinoma; Alveolar Soft Part Sarcoma; Central Nervous System Neoplasm; Childhood Clear Cell Sarcoma of Soft Tissue; Clear Cell Sarcoma of Soft Tissue; Ewing Sarcoma; Hepatoblastoma; Hepatocellular Carcinoma; Osteosarcoma; Recurrent Adrenal Cortical Carcinoma; Recurrent Alveolar Soft Part Sarcoma; Recurrent Clear Cell Sarcoma of Soft Tissue; Recurrent Ewing Sarcoma; Recurrent Hepatoblastoma; Recurrent Hepatocellular Carcinoma; Recurrent Kidney Wilms Tumor; Recurrent Malignant Solid Neoplasm; Recurrent Osteosarcoma; Recurrent Primary Malignant Central Nervous System Neoplasm; Recurrent Renal Cell Carcinoma; Recurrent Rhabdomyosarcoma; Recurrent Soft Tissue Sarcoma; Recurrent Thyroid Gland Medullary Carcinoma; Refractory Adrenal Cortical Carcinoma; Refractory Alveolar Soft Part Sarcoma; Refractory Clear Cell Sarcoma of Soft Tissue; Refractory Ewing Sarcoma; Refractory Hepatoblastoma; Refractory Hepatocellular Carcinoma; Refractory Malignant Solid Neoplasm; Refractory Osteosarcoma; Refractory Primary Central Nervous System Neoplasm; Refractory Primary Malignant Central Nervous System Neoplasm; Refractory Renal Cell Carcinoma; Refractory Rhabdomyosarcoma; Refractory Soft Tissue Sarcoma; Refractory Thyroid Gland Medullary Carcinoma; Refractory Wilms Tumor; Renal Cell Carcinoma; Rhabdomyosarcoma; Soft Tissue Sarcoma; Solid Neoplasm; Thyroid Gland Medullary Carcinoma; Wilms Tumor; Adrenocortical Carcinoma; Sarcoma, Alveolar Soft Part; Central Nervous System Neoplasms; Sarcoma, Clear Cell; Sarcoma, Ewing; Hepatoblastoma; Carcinoma, Hepatocellular; Osteosarcoma; Wilms Tumor; Carcinoma, Renal Cell; Rhabdomyosarcoma; Sarcoma; Carcinoma, Medullary",Ewing's Sarcoma,"Cabozantinib, Cabozantinib S-malate, Pharmacological Study",53.85,24.77,75.99,13.0,,,,,0.0,2026-03-25,2017-05-18,2026-06-27
NCT02867592,"Adrenal Cortical Carcinoma; Alveolar Soft Part Sarcoma; Central Nervous System Neoplasm; Childhood Clear Cell Sarcoma of Soft Tissue; Clear Cell Sarcoma of Soft Tissue; Ewing Sarcoma; Hepatoblastoma; Hepatocellular Carcinoma; Osteosarcoma; Recurrent Adrenal Cortical Carcinoma; Recurrent Alveolar Soft Part Sarcoma; Recurrent Clear Cell Sarcoma of Soft Tissue; Recurrent Ewing Sarcoma; Recurrent Hepatoblastoma; Recurrent Hepatocellular Carcinoma; Recurrent Kidney Wilms Tumor; Recurrent Malignant Solid Neoplasm; Recurrent Osteosarcoma; Recurrent Primary Malignant Central Nervous System Neoplasm; Recurrent Renal Cell Carcinoma; Recurrent Rhabdomyosarcoma; Recurrent Soft Tissue Sarcoma; Recurrent Thyroid Gland Medullary Carcinoma; Refractory Adrenal Cortical Carcinoma; Refractory Alveolar Soft Part Sarcoma; Refractory Clear Cell Sarcoma of Soft Tissue; Refractory Ewing Sarcoma; Refractory Hepatoblastoma; Refractory Hepatocellular Carcinoma; Refractory Malignant Solid Neoplasm; Refractory Osteosarcoma; Refractory Primary Central Nervous System Neoplasm; Refractory Primary Malignant Central Nervous System Neoplasm; Refractory Renal Cell Carcinoma; Refractory Rhabdomyosarcoma; Refractory Soft Tissue Sarcoma; Refractory Thyroid Gland Medullary Carcinoma; Refractory Wilms Tumor; Renal Cell Carcinoma; Rhabdomyosarcoma; Soft Tissue Sarcoma; Solid Neoplasm; Thyroid Gland Medullary Carcinoma; Wilms Tumor; Adrenocortical Carcinoma; Sarcoma, Alveolar Soft Part; Central Nervous System Neoplasms; Sarcoma, Clear Cell; Sarcoma, Ewing; Hepatoblastoma; Carcinoma, Hepatocellular; Osteosarcoma; Wilms Tumor; Carcinoma, Renal Cell; Rhabdomyosarcoma; Sarcoma; Carcinoma, Medullary",Non-Rhabdomyosarcoma Soft Tissue Sarcoma,"Cabozantinib, Cabozantinib S-malate, Pharmacological Study",74.59,39.76,91.1,13.0,,,,,0.0,2026-03-25,2017-05-18,2026-06-27
NCT02867592,"Adrenal Cortical Carcinoma; Alveolar Soft Part Sarcoma; Central Nervous System Neoplasm; Childhood Clear Cell Sarcoma of Soft Tissue; Clear Cell Sarcoma of Soft Tissue; Ewing Sarcoma; Hepatoblastoma; Hepatocellular Carcinoma; Osteosarcoma; Recurrent Adrenal Cortical Carcinoma; Recurrent Alveolar Soft Part Sarcoma; Recurrent Clear Cell Sarcoma of Soft Tissue; Recurrent Ewing Sarcoma; Recurrent Hepatoblastoma; Recurrent Hepatocellular Carcinoma; Recurrent Kidney Wilms Tumor; Recurrent Malignant Solid Neoplasm; Recurrent Osteosarcoma; Recurrent Primary Malignant Central Nervous System Neoplasm; Recurrent Renal Cell Carcinoma; Recurrent Rhabdomyosarcoma; Recurrent Soft Tissue Sarcoma; Recurrent Thyroid Gland Medullary Carcinoma; Refractory Adrenal Cortical Carcinoma; Refractory Alveolar Soft Part Sarcoma; Refractory Clear Cell Sarcoma of Soft Tissue; Refractory Ewing Sarcoma; Refractory Hepatoblastoma; Refractory Hepatocellular Carcinoma; Refractory Malignant Solid Neoplasm; Refractory Osteosarcoma; Refractory Primary Central Nervous System Neoplasm; Refractory Primary Malignant Central Nervous System Neoplasm; Refractory Renal Cell Carcinoma; Refractory Rhabdomyosarcoma; Refractory Soft Tissue Sarcoma; Refractory Thyroid Gland Medullary Carcinoma; Refractory Wilms Tumor; Renal Cell Carcinoma; Rhabdomyosarcoma; Soft Tissue Sarcoma; Solid Neoplasm; Thyroid Gland Medullary Carcinoma; Wilms Tumor; Adrenocortical Carcinoma; Sarcoma, Alveolar Soft Part; Central Nervous System Neoplasms; Sarcoma, Clear Cell; Sarcoma, Ewing; Hepatoblastoma; Carcinoma, Hepatocellular; Osteosarcoma; Wilms Tumor; Carcinoma, Renal Cell; Rhabdomyosarcoma; Sarcoma; Carcinoma, Medullary",Osteosarcoma,"Cabozantinib, Cabozantinib S-malate, Pharmacological Study",35.86,18.96,53.13,29.0,,,,,,2026-03-25,2017-05-18,2026-06-27
NCT02867592,"Adrenal Cortical Carcinoma; Alveolar Soft Part Sarcoma; Central Nervous System Neoplasm; Childhood Clear Cell Sarcoma of Soft Tissue; Clear Cell Sarcoma of Soft Tissue; Ewing Sarcoma; Hepatoblastoma; Hepatocellular Carcinoma; Osteosarcoma; Recurrent Adrenal Cortical Carcinoma; Recurrent Alveolar Soft Part Sarcoma; Recurrent Clear Cell Sarcoma of Soft Tissue; Recurrent Ewing Sarcoma; Recurrent Hepatoblastoma; Recurrent Hepatocellular Carcinoma; Recurrent Kidney Wilms Tumor; Recurrent Malignant Solid Neoplasm; Recurrent Osteosarcoma; Recurrent Primary Malignant Central Nervous System Neoplasm; Recurrent Renal Cell Carcinoma; Recurrent Rhabdomyosarcoma; Recurrent Soft Tissue Sarcoma; Recurrent Thyroid Gland Medullary Carcinoma; Refractory Adrenal Cortical Carcinoma; Refractory Alveolar Soft Part Sarcoma; Refractory Clear Cell Sarcoma of Soft Tissue; Refractory Ewing Sarcoma; Refractory Hepatoblastoma; Refractory Hepatocellular Carcinoma; Refractory Malignant Solid Neoplasm; Refractory Osteosarcoma; Refractory Primary Central Nervous System Neoplasm; Refractory Primary Malignant Central Nervous System Neoplasm; Refractory Renal Cell Carcinoma; Refractory Rhabdomyosarcoma; Refractory Soft Tissue Sarcoma; Refractory Thyroid Gland Medullary Carcinoma; Refractory Wilms Tumor; Renal Cell Carcinoma; Rhabdomyosarcoma; Soft Tissue Sarcoma; Solid Neoplasm; Thyroid Gland Medullary Carcinoma; Wilms Tumor; Adrenocortical Carcinoma; Sarcoma, Alveolar Soft Part; Central Nervous System Neoplasms; Sarcoma, Clear Cell; Sarcoma, Ewing; Hepatoblastoma; Carcinoma, Hepatocellular; Osteosarcoma; Wilms Tumor; Carcinoma, Renal Cell; Rhabdomyosarcoma; Sarcoma; Carcinoma, Medullary",Rare Tumors,"Cabozantinib, Cabozantinib S-malate, Pharmacological Study",34.78,16.63,53.71,23.0,,,,,13.04,2026-03-25,2017-05-18,2026-06-27
NCT02867592,"Adrenal Cortical Carcinoma; Alveolar Soft Part Sarcoma; Central Nervous System Neoplasm; Childhood Clear Cell Sarcoma of Soft Tissue; Clear Cell Sarcoma of Soft Tissue; Ewing Sarcoma; Hepatoblastoma; Hepatocellular Carcinoma; Osteosarcoma; Recurrent Adrenal Cortical Carcinoma; Recurrent Alveolar Soft Part Sarcoma; Recurrent Clear Cell Sarcoma of Soft Tissue; Recurrent Ewing Sarcoma; Recurrent Hepatoblastoma; Recurrent Hepatocellular Carcinoma; Recurrent Kidney Wilms Tumor; Recurrent Malignant Solid Neoplasm; Recurrent Osteosarcoma; Recurrent Primary Malignant Central Nervous System Neoplasm; Recurrent Renal Cell Carcinoma; Recurrent Rhabdomyosarcoma; Recurrent Soft Tissue Sarcoma; Recurrent Thyroid Gland Medullary Carcinoma; Refractory Adrenal Cortical Carcinoma; Refractory Alveolar Soft Part Sarcoma; Refractory Clear Cell Sarcoma of Soft Tissue; Refractory Ewing Sarcoma; Refractory Hepatoblastoma; Refractory Hepatocellular Carcinoma; Refractory Malignant Solid Neoplasm; Refractory Osteosarcoma; Refractory Primary Central Nervous System Neoplasm; Refractory Primary Malignant Central Nervous System Neoplasm; Refractory Renal Cell Carcinoma; Refractory Rhabdomyosarcoma; Refractory Soft Tissue Sarcoma; Refractory Thyroid Gland Medullary Carcinoma; Refractory Wilms Tumor; Renal Cell Carcinoma; Rhabdomyosarcoma; Soft Tissue Sarcoma; Solid Neoplasm; Thyroid Gland Medullary Carcinoma; Wilms Tumor; Adrenocortical Carcinoma; Sarcoma, Alveolar Soft Part; Central Nervous System Neoplasms; Sarcoma, Clear Cell; Sarcoma, Ewing; Hepatoblastoma; Carcinoma, Hepatocellular; Osteosarcoma; Wilms Tumor; Carcinoma, Renal Cell; Rhabdomyosarcoma; Sarcoma; Carcinoma, Medullary",Rhabdomyosarcoma,"Cabozantinib, Cabozantinib S-malate, Pharmacological Study",25.0,6.01,50.48,13.0,,,,,0.0,2026-03-25,2017-05-18,2026-06-27
